,Column Labels,,,,,,,,,,,,,,,,,,,
,baseline_never_false,,,,correct200_always_false,,,,correct200_importance50_true,,,,correct200_uncertaintyThreshold30_true,,,,Total Sum of reward,Total Sum of teaching,Total Sum of attention,Total Sum of sumAttention
Row Labels,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,,,,
270,2543.833333,0,0,0,3146.575,0,0,69846.8,3244.108333,0,0,53491.2,2719.611111,4.933333333,2230.166667,61551.96667,11654.12778,4.933333333,2230.166667,184889.9667
280,2549.491667,0,0,0,3210.183333,0,0,69846.8,3247.725,0,0,53491.2,2738.361111,2.966666667,2272.233333,63824.2,11745.76111,2.966666667,2272.233333,187162.2
290,2582.6,0,0,0,3279.275,0,0,69846.8,3293.233333,0,0,53491.2,2832.144444,2.333333333,2296.233333,66120.43333,11987.25278,2.333333333,2296.233333,189458.4333
300,2510.841667,0,0,0,3364.541667,0,0,69846.8,3242.041667,0,0,53491.2,2834.272222,1.733333333,2441,68561.43333,11951.69722,1.733333333,2441,191899.4333
310,2595.241667,0,0,0,3303.983333,0,0,69846.8,3296.683333,0,0,53491.2,2886.533333,2,2262.166667,70823.6,12082.44167,2,2262.166667,194161.6
320,2608.683333,0,0,0,3412.608333,0,0,69846.8,3412.625,0,0,53491.2,2852.433333,1.166666667,2225.3,73048.9,12286.35,1.166666667,2225.3,196386.9
330,2641.483333,0,0,0,3374.891667,0,0,69846.8,3249.266667,0,0,53491.2,2944.783333,0.333333333,2462.233333,75511.13333,12210.425,0.333333333,2462.233333,198849.1333
340,2694.208333,0,0,0,3437.683333,0,0,69846.8,3425.533333,0,0,53491.2,3000.472222,0.366666667,2386.033333,77897.16667,12557.89722,0.366666667,2386.033333,201235.1667
350,2718.875,0,0,0,3408.108333,0,0,69846.8,3377.991667,0,0,53491.2,3062.261111,0.1,2375.566667,80272.73333,12567.23611,0.1,2375.566667,203610.7333
360,2814.233333,0,0,0,3522.066667,0,0,69846.8,3476.9,0,0,53491.2,3018.144444,0.133333333,2422.033333,82694.76667,12831.34444,0.133333333,2422.033333,206032.7667
370,2864.141667,0,0,0,3369.408333,0,0,69846.8,3461.566667,0,0,53491.2,3253.777778,0.3,2318.6,85013.36667,12948.89444,0.3,2318.6,208351.3667
380,2834.958333,0,0,0,3462.958333,0,0,69846.8,3417.05,0,0,53491.2,3162.722222,0.633333333,2374,87387.36667,12877.68889,0.633333333,2374,210725.3667
390,2911.616667,0,0,0,3436.675,0,0,69846.8,3509.033333,0,0,53491.2,3209.405556,0.3,2233.833333,89621.2,13066.73056,0.3,2233.833333,212959.2
400,3004.641667,0,0,0,3569.725,0,0,69846.8,3390.791667,0,0,53491.2,3237.544444,0.166666667,2336.133333,91957.33333,13202.70278,0.166666667,2336.133333,215295.3333
410,3041.016667,0,0,0,3386.616667,0,0,69846.8,3555.416667,0,0,53491.2,3266.061111,0.3,2495.133333,94452.46667,13249.11111,0.3,2495.133333,217790.4667
420,3044.741667,0,0,0,3532.325,0,0,69846.8,3457.183333,0,0,53491.2,3317.933333,0.2,2448.4,96900.86667,13352.18333,0.2,2448.4,220238.8667
430,3100.791667,0,0,0,3564.158333,0,0,69846.8,3565.191667,0,0,53491.2,3237.211111,0.066666667,2374.466667,99275.33333,13467.35278,0.066666667,2374.466667,222613.3333
440,3070.025,0,0,0,3510.308333,0,0,69846.8,3605.566667,0,0,53491.2,3386.111111,0.2,2310.6,101585.9333,13572.01111,0.2,2310.6,224923.9333
450,3109.975,0,0,0,3561.575,0,0,69846.8,3412.183333,0,0,53491.2,3361.866667,0.066666667,2427.133333,104013.0667,13445.6,0.066666667,2427.133333,227351.0667
460,3223.441667,0,0,0,3579.875,0,0,69846.8,3417.333333,0,0,53491.2,3370.161111,0.066666667,2324.866667,106337.9333,13590.81111,0.066666667,2324.866667,229675.9333
470,3233.858333,0,0,0,3537.283333,0,0,69846.8,3634.775,0,0,53491.2,3372.111111,0.066666667,2229.9,108567.8333,13778.02778,0.066666667,2229.9,231905.8333
480,3269.683333,0,0,0,3637,0,0,69846.8,3677.316667,0,0,53491.2,3384.25,0,2202.7,110770.5333,13968.25,0,2202.7,234108.5333
490,3187.766667,0,0,0,3573.158333,0,0,69846.8,3517.7,0,0,53491.2,3405.733333,0,2258.566667,113029.1,13684.35833,0,2258.566667,236367.1
500,3312.5,0,0,0,3569.008333,0,0,69846.8,3582.408333,0,0,53491.2,3512.444444,0,2347.466667,115376.5667,13976.36111,0,2347.466667,238714.5667
