trainingEpisodes,reward,teaching,episodeLength,teachingStrategy
500,3659.472222222223,0.0,0.0,10869.433333333332,baseline_importance50_false
510,3626.561111111111,0.0,0.0,10587.533333333333,baseline_importance50_false
520,3683.7166666666662,0.0,0.0,10449.866666666667,baseline_importance50_false
530,3689.8888888888887,0.0,0.0,10423.4,baseline_importance50_false
540,3631.127777777778,0.0,0.0,10616.933333333332,baseline_importance50_false
550,3665.3055555555557,0.0,0.0,10218.766666666666,baseline_importance50_false
560,3729.5222222222224,0.0,0.0,10361.1,baseline_importance50_false
570,3695.2611111111114,0.0,0.0,10909.066666666668,baseline_importance50_false
580,3697.8,0.0,0.0,10523.933333333332,baseline_importance50_false
590,3751.888888888889,0.0,0.0,9947.533333333333,baseline_importance50_false
600,3726.6944444444453,0.0,0.0,10558.066666666668,baseline_importance50_false
610,3727.722222222223,0.0,0.0,10473.133333333333,baseline_importance50_false
620,3751.7888888888892,0.0,0.0,10665.433333333332,baseline_importance50_false
630,3734.1722222222224,0.0,0.0,10582.033333333333,baseline_importance50_false
640,3782.266666666667,0.0,0.0,9852.566666666668,baseline_importance50_false
650,3751.494444444444,0.0,0.0,10142.3,baseline_importance50_false
660,3767.9333333333334,0.0,0.0,10139.466666666667,baseline_importance50_false
670,3789.205555555555,0.0,0.0,10540.3,baseline_importance50_false
680,3763.088888888889,0.0,0.0,10616.8,baseline_importance50_false
690,3796.7277777777776,0.0,0.0,9746.466666666667,baseline_importance50_false
700,3728.061111111111,0.0,0.0,9956.766666666666,baseline_importance50_false
710,3709.9722222222217,0.0,0.0,10443.666666666666,baseline_importance50_false
720,3719.7,0.0,0.0,9995.133333333333,baseline_importance50_false
730,3781.072222222222,0.0,0.0,9965.433333333332,baseline_importance50_false
740,3710.061111111111,0.0,0.0,10302.133333333333,baseline_importance50_false
750,3730.161111111112,0.0,0.0,10270.433333333332,baseline_importance50_false
760,3719.15,0.0,0.0,10691.866666666667,baseline_importance50_false
770,3817.0333333333333,0.0,0.0,10247.133333333333,baseline_importance50_false
780,3793.944444444445,0.0,0.0,10283.5,baseline_importance50_false
790,3732.505555555555,0.0,0.0,10741.166666666666,baseline_importance50_false
800,3747.6888888888875,0.0,0.0,10060.8,baseline_importance50_false
810,3701.38888888889,0.0,0.0,9917.8,baseline_importance50_false
820,3749.066666666666,0.0,0.0,10053.766666666666,baseline_importance50_false
830,3731.838888888889,0.0,0.0,9943.233333333334,baseline_importance50_false
840,3801.855555555555,0.0,0.0,10260.033333333333,baseline_importance50_false
850,3796.2833333333324,0.0,0.0,10392.633333333333,baseline_importance50_false
860,3786.1277777777777,0.0,0.0,10580.4,baseline_importance50_false
870,3759.8777777777777,0.0,0.0,10028.233333333334,baseline_importance50_false
880,3798.188888888889,0.0,0.0,10606.9,baseline_importance50_false
890,3667.4222222222224,0.0,0.0,10402.566666666668,baseline_importance50_false
900,3712.0500000000006,0.0,0.0,10273.9,baseline_importance50_false
910,3813.022222222222,0.0,0.0,10312.566666666668,baseline_importance50_false
920,3773.1333333333328,0.0,0.0,10121.866666666667,baseline_importance50_false
930,3791.0944444444444,0.0,0.0,10132.666666666666,baseline_importance50_false
940,3792.0388888888892,0.0,0.0,10539.933333333332,baseline_importance50_false
950,3719.2166666666667,0.0,0.0,10857.166666666666,baseline_importance50_false
960,3800.7611111111105,0.0,0.0,10139.866666666667,baseline_importance50_false
970,3704.6055555555554,0.0,0.0,10803.833333333334,baseline_importance50_false
980,3782.861111111111,0.0,0.0,10827.566666666668,baseline_importance50_false
990,3798.3944444444446,0.0,0.0,10255.333333333334,baseline_importance50_false
1000,3747.8333333333344,0.0,0.0,10144.233333333334,baseline_importance50_false
0,2633.749999999999,0.0,0.0,0.0,cbaseline_avgCertainty_false
10,2369.0,857.3333333333334,5136.366666666667,10550.7,cbaseline_avgCertainty_false
20,2411.738888888889,142.66666666666666,1006.2333333333333,9246.633333333333,cbaseline_avgCertainty_false
30,2589.166666666666,0.0,0.0,9281.533333333333,cbaseline_avgCertainty_false
40,2606.7222222222217,0.0,0.0,9240.7,cbaseline_avgCertainty_false
50,2624.255555555556,0.0,0.0,8795.1,cbaseline_avgCertainty_false
60,2668.9111111111115,0.0,0.0,8945.733333333334,cbaseline_avgCertainty_false
70,2676.3000000000006,0.0,0.0,9404.1,cbaseline_avgCertainty_false
80,2737.394444444444,0.0,0.0,8863.333333333334,cbaseline_avgCertainty_false
90,2739.6444444444437,0.0,0.0,9014.8,cbaseline_avgCertainty_false
100,2789.483333333332,0.0,0.0,9274.9,cbaseline_avgCertainty_false
110,2821.05,0.0,0.0,9390.3,cbaseline_avgCertainty_false
120,2923.094444444445,0.0,0.0,9755.566666666668,cbaseline_avgCertainty_false
130,3063.3888888888887,0.0,0.0,9509.3,cbaseline_avgCertainty_false
140,3018.1722222222215,0.0,0.0,9654.9,cbaseline_avgCertainty_false
150,3053.5833333333344,0.0,0.0,9617.8,cbaseline_avgCertainty_false
160,3039.4555555555557,0.0,0.0,9955.766666666666,cbaseline_avgCertainty_false
170,3135.0500000000006,0.0,0.0,10257.4,cbaseline_avgCertainty_false
180,3106.972222222222,0.0,0.0,9900.433333333332,cbaseline_avgCertainty_false
190,3227.588888888889,0.0,0.0,10162.8,cbaseline_avgCertainty_false
200,3254.3499999999995,0.0,0.0,10218.666666666666,cbaseline_avgCertainty_false
210,3299.999999999999,0.0,0.0,9803.366666666667,cbaseline_avgCertainty_false
220,3328.244444444445,0.0,0.0,9839.8,cbaseline_avgCertainty_false
230,3331.8611111111118,0.0,0.0,10553.5,cbaseline_avgCertainty_false
240,3378.9944444444436,0.0,0.0,10249.833333333334,cbaseline_avgCertainty_false
250,3479.622222222222,0.0,0.0,10220.666666666666,cbaseline_avgCertainty_false
260,3469.9666666666667,0.0,0.0,10520.9,cbaseline_avgCertainty_false
270,3370.733333333334,0.0,0.0,10161.333333333334,cbaseline_avgCertainty_false
280,3393.2166666666667,0.0,0.0,10474.033333333333,cbaseline_avgCertainty_false
290,3352.1388888888887,0.0,0.0,10189.933333333332,cbaseline_avgCertainty_false
300,3336.033333333333,0.0,0.0,10322.333333333334,cbaseline_avgCertainty_false
310,3471.3055555555557,0.0,0.0,10438.033333333333,cbaseline_avgCertainty_false
320,3487.755555555555,0.0,0.0,10259.6,cbaseline_avgCertainty_false
330,3536.838888888889,0.0,0.0,10782.6,cbaseline_avgCertainty_false
340,3482.244444444444,0.0,0.0,10607.833333333334,cbaseline_avgCertainty_false
350,3506.772222222223,0.0,0.0,10208.666666666666,cbaseline_avgCertainty_false
360,3424.6722222222224,0.0,0.0,10200.5,cbaseline_avgCertainty_false
370,3459.5166666666673,0.0,0.0,10168.333333333334,cbaseline_avgCertainty_false
380,3525.377777777778,0.0,0.0,10216.466666666667,cbaseline_avgCertainty_false
390,3539.611111111111,0.0,0.0,10410.966666666667,cbaseline_avgCertainty_false
400,3553.6444444444446,0.0,0.0,10809.366666666667,cbaseline_avgCertainty_false
410,3576.7055555555557,0.0,0.0,10500.233333333334,cbaseline_avgCertainty_false
420,3650.5333333333324,0.0,0.0,10930.133333333333,cbaseline_avgCertainty_false
430,3579.0333333333315,0.0,0.0,10461.833333333334,cbaseline_avgCertainty_false
440,3535.7166666666667,0.0,0.0,10777.933333333332,cbaseline_avgCertainty_false
450,3654.638888888889,0.0,0.0,9779.6,cbaseline_avgCertainty_false
460,3752.7277777777776,0.0,0.0,9968.433333333332,cbaseline_avgCertainty_false
470,3710.6555555555547,0.0,0.0,10803.3,cbaseline_avgCertainty_false
480,3644.188888888889,0.0,0.0,10575.233333333334,cbaseline_avgCertainty_false
490,3731.788888888888,0.0,0.0,10729.8,cbaseline_avgCertainty_false
500,3680.472222222222,0.0,0.0,10697.733333333334,cbaseline_avgCertainty_false
510,3689.9166666666665,0.0,0.0,10934.766666666666,cbaseline_avgCertainty_false
520,3699.7944444444447,0.0,0.0,9937.7,cbaseline_avgCertainty_false
530,3662.166666666666,0.0,0.0,10309.4,cbaseline_avgCertainty_false
540,3695.0222222222214,0.0,0.0,11031.0,cbaseline_avgCertainty_false
550,3690.055555555556,0.0,0.0,10837.033333333333,cbaseline_avgCertainty_false
560,3777.516666666668,0.0,0.0,10788.6,cbaseline_avgCertainty_false
570,3713.4500000000003,0.0,0.0,10760.466666666667,cbaseline_avgCertainty_false
580,3761.9944444444454,0.0,0.0,10297.633333333333,cbaseline_avgCertainty_false
590,3735.122222222222,0.0,0.0,10389.533333333333,cbaseline_avgCertainty_false
600,3697.077777777778,0.0,0.0,10556.766666666666,cbaseline_avgCertainty_false
610,3743.6277777777786,0.0,0.0,10279.366666666667,cbaseline_avgCertainty_false
620,3761.788888888889,0.0,0.0,10633.1,cbaseline_avgCertainty_false
630,3672.6777777777775,0.0,0.0,10302.466666666667,cbaseline_avgCertainty_false
640,3656.155555555555,0.0,0.0,10590.633333333333,cbaseline_avgCertainty_false
